RSI,MeanToStdDev,PL
44.7568,-1.393521,WeakSell
41.31697,-0.8927074,WeakSell
46.04981,-1.010029,WeakSell
41.06245,-0.4626867,Sell
45.41201,-0.3216587,Sell
48.22649,-0.8439721,Sell
40.64466,-0.9767964,Sell
41.1466,-1.834277,Sell
31.59323,-1.528607,Sell
34.37918,-1.604523,Sell
34.31113,-3.065269,Sell
26.31193,-3.025605,Sell
26.12482,-2.660922,Sell
24.28582,-2.446114,StrongSell
23.71924,-1.977472,StrongSell
27.17486,-3.180112,StrongSell
20.8602,-3.409069,StrongSell
18.95241,-3.226169,StrongSell
15.99139,-2.626837,StrongSell
18.01385,-2.97589,StrongSell
15.54415,-2.564384,StrongSell
16.12499,-2.68089,StrongSell
14.58391,-2.437762,StrongSell
14.15985,-2.078029,StrongSell
17.67847,-2.365325,StrongSell
15.189,-2.678207,StrongSell
12.40368,-3.548761,WeakSell
7.584543,-2.890685,WeakSell
6.275365,-2.391102,WeakSell
9.703526,-1.975072,Sell
15.82563,-2.02342,Sell
13.28407,-2.040171,WeakSell
12.17596,-1.953668,WeakSell
10.22571,-1.713489,WeakSell
13.08444,-2.042641,WeakBuy
10.5307,-1.971407,WeakBuy
10.01186,-2.108168,Buy
8.804984,-2.267908,StrongBuy
7.152472,-1.775695,StrongBuy
17.69124,-1.766308,StrongBuy
17.08689,-1.552406,StrongBuy
20.39587,-0.6335525,Buy
43.14255,-0.6110467,Buy
42.14656,-0.379461,Buy
44.91226,-0.1811196,Buy
48.31561,-0.556366,StrongBuy
42.10518,0.01796853,Buy
50.16018,0.1799805,Buy
50.83093,0.4304538,Buy
53.59473,0.4485084,Buy
52.20945,0.3464908,StrongBuy
50.08591,1.199172,Buy
57.67125,1.493553,WeakBuy
58.63943,1.626967,WeakBuy
59.67317,2.033414,WeakBuy
63.54052,1.925051,WeakBuy
66.71899,1.746415,WeakBuy
64.59404,1.624327,WeakBuy
63.90882,1.138866,Buy
56.2944,1.634771,WeakBuy
63.51296,1.60349,WeakSell
65.31539,1.330261,WeakBuy
62.46149,0.9562802,Buy
56.73306,1.207291,WeakBuy
63.32998,1.108346,WeakBuy
63.66976,1.10183,WeakBuy
66.85014,1.032041,WeakBuy
70.11063,0.9060844,WeakBuy
67.46317,0.7748009,Buy
66.97725,0.6751885,Buy
65.78396,1.04976,WeakBuy
65.95607,1.081435,WeakBuy
66.77369,1.301713,WeakBuy
68.4864,1.802098,WeakSell
72.07108,1.478081,WeakBuy
72.60487,1.339401,WeakBuy
69.32925,1.266783,WeakBuy
67.48487,1.142404,WeakBuy
65.22098,1.142395,WeakBuy
66.01106,1.30195,WeakBuy
69.36008,1.26931,WeakBuy
65.17852,1.361745,WeakBuy
63.80231,2.043911,WeakSell
68.25867,1.886124,WeakSell
65.88461,1.468578,WeakBuy
61.86717,1.46726,WeakBuy
63.21431,1.951609,WeakSell
67.52358,1.243052,WeakBuy
63.71296,0.8324339,WeakBuy
54.97301,1.222402,WeakBuy
58.61929,0.8052157,WeakBuy
56.3648,0.7868708,WeakBuy
60.73182,0.8408366,WeakBuy
59.01585,0.6310451,WeakBuy
57.09586,0.5991494,WeakBuy
56.74171,0.6743824,WeakBuy
58.33044,0.6632899,WeakBuy
60.16095,0.8005628,WeakBuy
63.84302,0.8015626,WeakBuy
65.7258,1.089438,WeakBuy
64.94154,1.155093,WeakBuy
64.60621,1.9253,WeakBuy
67.05959,3.659033,WeakSell
71.04313,3.932853,WeakSell
76.98463,2.827165,WeakSell
73.63651,2.195491,WeakSell
70.84931,2.009888,WeakSell
71.61662,1.560252,WeakSell
66.61752,1.066845,WeakSell
59.61604,1.309068,WeakSell
62.19074,1.846099,WeakSell
66.55242,0.772617,WeakSell
52.61826,1.282197,WeakSell
57.11586,1.579948,Sell
61.1968,1.354653,Sell
59.44299,1.694574,Sell
60.60608,1.282619,Sell
60.01919,0.9467223,Sell
58.59841,-0.2107154,Sell
44.64392,-1.473059,WeakSell
37.19756,-2.42429,WeakSell
31.89306,-2.989902,WeakBuy
28.25882,-2.211863,WeakBuy
34.13649,-1.450113,WeakSell
41.35519,-0.9865416,WeakSell
45.74075,-1.660835,WeakSell
40.64795,-1.669877,WeakSell
39.88612,-1.629497,WeakSell
39.69476,-1.418352,WeakSell
40.87788,-1.249177,WeakSell
42.71403,-1.527265,WeakSell
38.30455,-1.4407,WeakSell
35.59021,-2.035642,WeakBuy
28.01899,-1.865661,WeakBuy
28.4296,-1.584152,WeakBuy
31.65514,-1.538319,WeakBuy
30.85252,-1.791286,WeakBuy
27.78914,-1.613694,WeakBuy
29.08105,-1.35498,WeakBuy
31.36098,-0.8481416,WeakBuy
38.49606,-1.050556,WeakBuy
36.96798,-0.6786857,WeakBuy
41.12474,-0.2602215,WeakSell
45.86225,-0.1972403,WeakSell
45.72946,0.03546235,WeakSell
46.57426,-0.1816051,WeakSell
43.35798,0.07517452,WeakSell
45.64543,0.1538884,WeakSell
47.57874,0.2171167,WeakSell
49.58166,0.6213449,WeakSell
54.63834,0.3435054,WeakSell
53.95505,-0.1380093,WeakSell
47.70079,-0.1427585,WeakSell
44.29742,0.2048019,Sell
44.83643,-0.7779655,WeakSell
39.32212,-1.409623,WeakSell
35.64549,-2.268415,WeakSell
31.04944,-2.528192,WeakSell
28.35979,-0.937143,WeakSell
40.96569,-0.9029875,WeakSell
42.23986,-1.753983,WeakSell
37.43101,-2.328405,WeakSell
36.35466,-1.877226,WeakSell
38.92347,-1.442757,WeakSell
41.55649,-1.620383,WeakSell
40.43016,-1.526201,WeakSell
42.59216,-0.6093538,Sell
51.53892,-1.032178,Sell
47.15499,-0.8986449,Sell
45.95119,-0.9452962,Sell
47.0247,-0.8508183,StrongSell
45.38007,-1.01402,StrongSell
40.07141,-1.521657,StrongSell
34.29495,-2.084187,StrongSell
27.8025,-2.101649,StrongSell
27.4507,-2.666914,Sell
22.2045,-3.342466,Sell
17.99696,-2.980591,Sell
17.55287,-2.780963,Sell
15.9027,-2.226408,Sell
21.18402,-2.218305,Sell
20.62336,-2.479454,Sell
18.16651,-2.6798,WeakSell
15.31025,-2.091513,Sell
22.95034,-2.28172,Sell
21.26921,-2.232613,Sell
21.07372,-2.431681,WeakSell
18.98575,-2.089049,WeakSell
17.42324,-2.518582,WeakBuy
13.95214,-2.33424,WeakBuy
13.99955,-2.308718,Buy
13.33754,-1.219012,WeakSell
36.88709,-0.6192493,Sell
46.00932,-0.8041282,Sell
42.83802,-0.7308596,Sell
42.85941,-0.9479231,Sell
37.62642,-1.427008,WeakSell
32.11894,-1.047735,WeakSell
36.9748,-0.7814029,Sell
40.02838,-0.943239,Sell
37.38209,-1.057601,WeakSell
35.62698,-0.927792,Sell
37.15859,-0.847437,Sell
38.10117,-1.019936,Sell
36.03398,-1.118335,Sell
35.34551,-1.109584,Sell
36.2133,-1.480705,Sell
32.93359,-1.540304,Sell
32.4453,-1.323005,Sell
33.91718,-1.377388,Sell
33.75555,-1.989503,Sell
30.99858,-2.092616,Sell
31.32785,-2.541042,WeakSell
26.95608,-2.980963,WeakBuy
24.73294,-3.43029,Buy
22.19003,-2.34625,WeakBuy
31.11435,-1.460154,WeakSell
39.50293,-2.356264,Buy
34.47071,-1.710315,Buy
39.82245,-1.470052,Buy
42.11147,-1.153845,WeakBuy
40.70205,-0.5638602,WeakSell
45.04739,-0.01231557,Sell
51.71284,0.01861602,Sell
50.92663,-0.318166,WeakSell
47.67459,-0.0215273,Sell
52.55067,-0.2469663,Sell
47.91071,-0.7775025,WeakSell
41.25771,0.3592498,StrongSell
52.49154,0.686958,StrongSell
54.70977,0.5506465,StrongSell
