Date,Price,Open,High,Low,Change
2019-02-28,1.1382,1.1379,1.1386,1.1368,0.03%
2019-02-27,1.1379,1.1389,1.1404,1.1362,-0.07%
2019-02-26,1.1387,1.1366,1.1404,1.1343,0.25%
2019-02-25,1.1359,1.1338,1.1369,1.1323,0.14%
2019-02-22,1.1343,1.1337,1.136,1.1315,0.06%
2019-02-21,1.1336,1.1338,1.1368,1.132,-0.01%
2019-02-20,1.1337,1.1342,1.1374,1.1324,-0.04%
2019-02-19,1.1341,1.131,1.1358,1.1274,0.27%
2019-02-18,1.1311,1.1288,1.1337,1.1284,0.14%
2019-02-15,1.1295,1.1295,1.1313,1.1233,-0.05%
2019-02-14,1.1301,1.1262,1.1313,1.1247,0.30%
2019-02-13,1.1267,1.1326,1.1346,1.126,-0.51%
2019-02-12,1.1325,1.128,1.1342,1.1256,0.43%
2019-02-11,1.1276,1.1328,1.1331,1.1264,-0.48%
2019-02-08,1.133,1.1346,1.1355,1.132,-0.10%
2019-02-07,1.1341,1.136,1.1375,1.1322,-0.18%
2019-02-06,1.1362,1.1406,1.142,1.1359,-0.46%
2019-02-05,1.1415,1.1442,1.1456,1.14,-0.20%
2019-02-04,1.1438,1.1457,1.1467,1.1421,-0.16%
2019-02-01,1.1456,1.1447,1.149,1.1433,0.09%
2019-01-31,1.1446,1.148,1.1517,1.1434,-0.29%
2019-01-30,1.1479,1.1433,1.1503,1.1404,0.41%
2019-01-29,1.1432,1.1428,1.1453,1.141,-0.02%
2019-01-28,1.1434,1.1404,1.1445,1.1388,0.17%
2019-01-25,1.1415,1.1306,1.1421,1.1298,0.96%
2019-01-24,1.1306,1.138,1.1398,1.1287,-0.66%
2019-01-23,1.1381,1.1358,1.1397,1.1348,0.19%
2019-01-22,1.1359,1.1365,1.1386,1.1334,-0.06%
2019-01-21,1.1366,1.1371,1.1409,1.1355,0.03%
2019-01-18,1.1363,1.1389,1.1413,1.1352,-0.31%
2019-01-17,1.1398,1.1396,1.141,1.1369,-0.02%
2019-01-16,1.14,1.1414,1.1429,1.1377,-0.15%
2019-01-15,1.1417,1.1473,1.1494,1.1381,-0.52%
2019-01-14,1.1477,1.1471,1.1485,1.144,0.07%
